"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-d32122b3d8ee404386366be128a2f5f8","CompositionRelationship","","","id-ca32711b842941bbbea4d2f4ee0c52bc","id-de69332711724f8d8f027f16e0c269d0",""
"id-d530f864d09a4357a8c77770ba7bc736","CompositionRelationship","","","id-ca32711b842941bbbea4d2f4ee0c52bc","id-e7a26d3ffdac45099d92458ab21bfd11",""
"id-ae07cf9557b740e5be65598f4e213898","CompositionRelationship","","","id-ca32711b842941bbbea4d2f4ee0c52bc","id-192247a418b14ba989d299a6a2382c4f",""
"id-5a777f02f588417398a767a7e270baad","CompositionRelationship","","","id-ca32711b842941bbbea4d2f4ee0c52bc","id-43b7ad2377f04646af5040df11f6c669",""
"id-bdcd92d526e24a18b3c13aaca8758d87","CompositionRelationship","","","id-ca32711b842941bbbea4d2f4ee0c52bc","id-b2624c41d6924943b61c3e0b6baef5d8",""
"id-29f960acea2a421d9ceb28867a862767","CompositionRelationship","","","id-ca32711b842941bbbea4d2f4ee0c52bc","id-a68824df26e54b41b452a8f246875713",""
"id-ed6692e85b2f4e2a95177972eb06401a","CompositionRelationship","","","id-9dc25f9fbd7d4869bc48f3e50aaced14","id-0cfddffea87644dfb0225e63cb36716f",""
"id-1257a73244754065963950c1a86970d7","CompositionRelationship","","","id-9dc25f9fbd7d4869bc48f3e50aaced14","id-0616038454624517b8397227db1cb907",""
"id-53b41ab0932d4c639e48df3d5ae72239","CompositionRelationship","","","id-9dc25f9fbd7d4869bc48f3e50aaced14","id-83ff45571b784bb1b469a88d36af1af0",""
"id-5c36ff3417fe43ca96f9ea7490562945","CompositionRelationship","","","id-9dc25f9fbd7d4869bc48f3e50aaced14","id-dd1d1015a23144eb888f2e1774f543c4",""
"id-a15f5b464ce447a1818f7ec983bf6b54","CompositionRelationship","","","id-9dc25f9fbd7d4869bc48f3e50aaced14","id-cc0557493a044148b11e8a264db74c21",""
"id-a9fe65a225ab4b7fb9b5c440d5e86b35","CompositionRelationship","","","id-9dc25f9fbd7d4869bc48f3e50aaced14","id-6e4a1bf102e74053a1f0594ff1e6177f",""
"id-25914ecb4df04ee9a879bfbbec42b2d1","CompositionRelationship","","","id-9dc25f9fbd7d4869bc48f3e50aaced14","id-cc8d8338a64d4448aa5d85771722d377",""
"id-53b48c9ab0994d7dbab6edb7fb00f91e","CompositionRelationship","","","id-5613bb749c9646208a7cfe22c07a5b1f","id-4e1266866b114291ad859fc6857ffa35",""
"id-415ca5c8719d4ee9a3e110eecb75bf27","CompositionRelationship","","","id-5613bb749c9646208a7cfe22c07a5b1f","id-23d7d424a960438d9c70662ea77b721d",""
"id-e8c694082ea94f859d8c2e1247f3ff94","CompositionRelationship","","","id-5613bb749c9646208a7cfe22c07a5b1f","id-6d740ba809794835b1d61acb06f3e420",""
"id-69b502b439a04fa6910ad7736f4de920","CompositionRelationship","","","id-5613bb749c9646208a7cfe22c07a5b1f","id-b3bc5c84527e42c19d0fcbbf0d62575f",""
"id-53cf90961d304a388c68ec9c0c468154","CompositionRelationship","","","id-5613bb749c9646208a7cfe22c07a5b1f","id-67570700b74b4391970f57d18f70797e",""
"id-355c7e1571d248a0981d583abb1dcf9d","CompositionRelationship","","","id-5613bb749c9646208a7cfe22c07a5b1f","id-c6ad7e877a8742cba2d3dd23acc68f73",""
"id-d10ce8adbf7d4be48c525b0221a38cdc","CompositionRelationship","","","id-a6bddd9ad426434b9d10465d24d4aed4","id-9e07b5a3b9f64fc88a0ac7d21124f299",""
"id-dde0aa9028da45fba85fb0f4424b13a4","CompositionRelationship","","","id-a6bddd9ad426434b9d10465d24d4aed4","id-402c4a2842bb446280638ad1f527fd49",""
"id-8058721ac99149ab8f17605eee66c9fe","CompositionRelationship","","","id-a6bddd9ad426434b9d10465d24d4aed4","id-b37b9b57debd4b40a1310542a2b529f7",""
"id-539eaf55793a4b51983572b1f406745f","CompositionRelationship","","","id-a6bddd9ad426434b9d10465d24d4aed4","id-265d821529024534af8ce64666d0b296",""
"id-dff0d5af975b42e6b1db39ccd5c5a586","CompositionRelationship","","","id-8779a65b80794a47863d69e72877ae4b","id-00baa322cab8452ba89133791bd35291",""
"id-034f4d5802d145a397501eea2a6a4e42","CompositionRelationship","","","id-8779a65b80794a47863d69e72877ae4b","id-a0bf4c26168a45b0b53064e1275c3fe1",""
"id-b96f11fe47c84674a18afb704cf26d68","CompositionRelationship","","","id-8779a65b80794a47863d69e72877ae4b","id-ef65f922582c4c59b391fc4658a2290e",""
"id-028fe590575c46febd1d88bb653e0a9d","CompositionRelationship","","","id-8779a65b80794a47863d69e72877ae4b","id-0f8304d7fda94ac98cab1f238d67d282",""
"id-094bad782cb140be8319a8426f55a7f5","CompositionRelationship","","","id-01f897a1bd134f2f82fa3b782cdf6e49","id-500afdd456eb40ceb87cf30af06eddc8",""
"id-9afac961d9ab44c3b71375f551de2157","CompositionRelationship","","","id-01f897a1bd134f2f82fa3b782cdf6e49","id-f42a5d6db3804aa8b892143b7929a7bb",""
"id-9ed6c45494964a0a9705b5a74ab738c4","CompositionRelationship","","","id-01f897a1bd134f2f82fa3b782cdf6e49","id-1b18df6b2f874cc48afc6647ab6209c1",""
"id-bdefc0de813d44ac96aa32e5fd2f3f99","CompositionRelationship","","","id-01f897a1bd134f2f82fa3b782cdf6e49","id-ff7c65cfcf6445f1b4caf0af08c13d8e",""
"id-2a20ad7fe8d846ac8d5ddcf19fc0c14e","CompositionRelationship","","","id-01f897a1bd134f2f82fa3b782cdf6e49","id-5b7b9b9adb8546268134dcea9eddb0c4",""
"id-d1fddab143f0464d9e499dce79bf7dec","CompositionRelationship","","","id-8779a65b80794a47863d69e72877ae4b","id-f0ecdf3f394d4a6885f8af4feac05e8c",""
"id-bf5c4fb55b0748e88ca49f8e49dd383c","CompositionRelationship","","","id-a6bddd9ad426434b9d10465d24d4aed4","id-45913efea1114440943f7cc9eb9aaebc",""
"id-a0714eaf6adb4cfabd7c1bf626b9d851","CompositionRelationship","","","id-8141d6512d2e4f1784e31d6e3e20f19d","id-baf7d5c5efaa4e77966281f56e1d8c7c",""
"id-02bab41c834a48168065f82e02484a2f","CompositionRelationship","","","id-8141d6512d2e4f1784e31d6e3e20f19d","id-9d3b99eef6dc406d9cd61397186418a6",""
"id-079b34e5bc0241779c9ebfd4dd5a3a94","CompositionRelationship","","","id-8141d6512d2e4f1784e31d6e3e20f19d","id-c2364208118f443599f8e710782ae93b",""
"id-0722ec5b21e247a9a61388573cf2b79d","CompositionRelationship","","","id-8141d6512d2e4f1784e31d6e3e20f19d","id-df6584ee0af34b549a922c433358a849",""
